potential,current
 1.690E-0001,-6.04257E-0007
 1.700E-0001,-5.98153E-0007
 1.710E-0001,-6.19516E-0007
 1.720E-0001,-6.22568E-0007
 1.730E-0001,-6.10360E-0007
 1.740E-0001,-5.92050E-0007
 1.750E-0001,-5.92050E-0007
 1.760E-0001,-6.16464E-0007
 1.770E-0001,-5.73739E-0007
 1.780E-0001,-6.04257E-0007
 1.790E-0001,-6.16464E-0007
 1.800E-0001,-6.16464E-0007
 1.810E-0001,-6.25619E-0007
 1.820E-0001,-6.16464E-0007
 1.830E-0001,-6.28671E-0007
 1.840E-0001,-6.28671E-0007
 1.850E-0001,-6.31723E-0007
 1.860E-0001,-6.59189E-0007
 1.870E-0001,-6.65293E-0007
 1.880E-0001,-6.68345E-0007
 1.890E-0001,-6.65293E-0007
 1.900E-0001,-6.53086E-0007
 1.910E-0001,-6.71396E-0007
 1.920E-0001,-6.71396E-0007
 1.930E-0001,-6.62241E-0007
 1.940E-0001,-6.59189E-0007
 1.950E-0001,-6.71396E-0007
 1.960E-0001,-6.71396E-0007
 1.970E-0001,-6.77500E-0007
 1.980E-0001,-6.77500E-0007
 1.990E-0001,-6.77500E-0007
 2.000E-0001,-6.86655E-0007
 2.010E-0001,-6.71396E-0007
 2.020E-0001,-6.77500E-0007
 2.030E-0001,-6.89707E-0007
 2.040E-0001,-6.89707E-0007
 2.050E-0001,-6.89707E-0007
 2.060E-0001,-7.01915E-0007
 2.070E-0001,-6.95811E-0007
 2.080E-0001,-7.23277E-0007
 2.090E-0001,-7.14122E-0007
 2.100E-0001,-7.20225E-0007
 2.110E-0001,-7.20225E-0007
 2.120E-0001,-7.26329E-0007
 2.130E-0001,-7.32433E-0007
 2.140E-0001,-7.56847E-0007
 2.150E-0001,-7.59899E-0007
 2.160E-0001,-7.69054E-0007
 2.170E-0001,-7.62951E-0007
 2.180E-0001,-7.66002E-0007
 2.190E-0001,-7.81261E-0007
 2.200E-0001,-7.75158E-0007
 2.210E-0001,-7.93469E-0007
 2.220E-0001,-7.93469E-0007
 2.230E-0001,-8.02624E-0007
 2.240E-0001,-7.99572E-0007
 2.250E-0001,-8.05676E-0007
 2.260E-0001,-7.99572E-0007
 2.270E-0001,-8.17883E-0007
 2.280E-0001,-8.30090E-0007
 2.290E-0001,-8.30090E-0007
 2.300E-0001,-8.23987E-0007
 2.310E-0001,-8.30090E-0007
 2.320E-0001,-8.36194E-0007
 2.330E-0001,-8.48401E-0007
 2.340E-0001,-8.60608E-0007
 2.350E-0001,-8.69764E-0007
 2.360E-0001,-8.72816E-0007
 2.370E-0001,-8.72816E-0007
 2.380E-0001,-8.81971E-0007
 2.390E-0001,-8.91126E-0007
 2.400E-0001,-8.91126E-0007
 2.410E-0001,-9.03334E-0007
 2.420E-0001,-9.24696E-0007
 2.430E-0001,-9.06385E-0007
 2.440E-0001,-9.36903E-0007
 2.450E-0001,-9.30800E-0007
 2.460E-0001,-9.46059E-0007
 2.470E-0001,-9.82681E-0007
 2.480E-0001,-9.82681E-0007
 2.490E-0001,-9.97940E-0007
 2.500E-0001,-1.02540E-0006
 2.510E-0001,-1.01319E-0006
 2.520E-0001,-1.01319E-0006
 2.530E-0001,-1.04371E-0006
 2.540E-0001,-1.04371E-0006
 2.550E-0001,-1.04982E-0006
 2.560E-0001,-1.06202E-0006
 2.570E-0001,-1.07423E-0006
 2.580E-0001,-1.09254E-0006
 2.590E-0001,-1.09254E-0006
 2.600E-0001,-1.11696E-0006
 2.610E-0001,-1.12916E-0006
 2.620E-0001,-1.15358E-0006
 2.630E-0001,-1.17799E-0006
 2.640E-0001,-1.19020E-0006
 2.650E-0001,-1.19630E-0006
 2.660E-0001,-1.21766E-0006
 2.670E-0001,-1.22377E-0006
 2.680E-0001,-1.25734E-0006
 2.690E-0001,-1.26955E-0006
 2.700E-0001,-1.28786E-0006
 2.710E-0001,-1.31227E-0006
 2.720E-0001,-1.31837E-0006
 2.730E-0001,-1.35805E-0006
 2.740E-0001,-1.37941E-0006
 2.750E-0001,-1.39772E-0006
 2.760E-0001,-1.41908E-0006
 2.770E-0001,-1.44655E-0006
 2.780E-0001,-1.44655E-0006
 2.790E-0001,-1.50759E-0006
 2.800E-0001,-1.52590E-0006
 2.810E-0001,-1.56557E-0006
 2.820E-0001,-1.58999E-0006
 2.830E-0001,-1.61135E-0006
 2.840E-0001,-1.61135E-0006
 2.850E-0001,-1.64797E-0006
 2.860E-0001,-1.70290E-0006
 2.870E-0001,-1.69985E-0006
 2.880E-0001,-1.75783E-0006
 2.890E-0001,-1.79446E-0006
 2.900E-0001,-1.82497E-0006
 2.910E-0001,-1.87991E-0006
 2.920E-0001,-1.89822E-0006
 2.930E-0001,-1.95315E-0006
 2.940E-0001,-2.00198E-0006
 2.950E-0001,-2.03860E-0006
 2.960E-0001,-2.10574E-0006
 2.970E-0001,-2.14541E-0006
 2.980E-0001,-2.19729E-0006
 2.990E-0001,-2.23392E-0006
 3.000E-0001,-2.28885E-0006
 3.010E-0001,-2.34378E-0006
 3.020E-0001,-2.34988E-0006
 3.030E-0001,-2.41702E-0006
 3.040E-0001,-2.47196E-0006
 3.050E-0001,-2.54520E-0006
 3.060E-0001,-2.60013E-0006
 3.070E-0001,-2.66727E-0006
 3.080E-0001,-2.72831E-0006
 3.090E-0001,-2.80766E-0006
 3.100E-0001,-2.86259E-0006
 3.110E-0001,-2.93583E-0006
 3.120E-0001,-3.01518E-0006
 3.130E-0001,-3.08537E-0006
 3.140E-0001,-3.16777E-0006
 3.150E-0001,-3.22270E-0006
 3.160E-0001,-3.32341E-0006
 3.170E-0001,-3.38750E-0006
 3.180E-0001,-3.47600E-0006
 3.190E-0001,-3.56450E-0006
 3.200E-0001,-3.66826E-0006
 3.210E-0001,-3.72625E-0006
 3.220E-0001,-3.84222E-0006
 3.230E-0001,-3.93682E-0006
 3.240E-0001,-4.02838E-0006
 3.250E-0001,-4.11993E-0006
 3.260E-0001,-4.25116E-0006
 3.270E-0001,-4.38239E-0006
 3.280E-0001,-4.47394E-0006
 3.290E-0001,-4.60212E-0006
 3.300E-0001,-4.70588E-0006
 3.310E-0001,-4.82795E-0006
 3.320E-0001,-4.95002E-0006
 3.330E-0001,-5.07820E-0006
 3.340E-0001,-5.20637E-0006
 3.350E-0001,-5.32845E-0006
 3.360E-0001,-5.46883E-0006
 3.370E-0001,-5.61532E-0006
 3.380E-0001,-5.71908E-0006
 3.390E-0001,-5.89608E-0006
 3.400E-0001,-6.05172E-0006
 3.410E-0001,-6.21347E-0006
 3.420E-0001,-6.36606E-0006
 3.430E-0001,-6.51255E-0006
 3.440E-0001,-6.70786E-0006
 3.450E-0001,-6.86655E-0006
 3.460E-0001,-7.04356E-0006
 3.470E-0001,-7.19005E-0006
 3.480E-0001,-7.36705E-0006
 3.490E-0001,-7.54406E-0006
 3.500E-0001,-7.75158E-0006
 3.510E-0001,-7.94995E-0006
 3.520E-0001,-8.13611E-0006
 3.530E-0001,-8.33142E-0006
 3.540E-0001,-8.53284E-0006
 3.550E-0001,-8.72205E-0006
 3.560E-0001,-8.96314E-0006
 3.570E-0001,-9.16151E-0006
 3.580E-0001,-9.38735E-0006
 3.590E-0001,-9.59487E-0006
 3.600E-0001,-9.82070E-0006
 3.610E-0001,-1.00282E-0005
 3.620E-0001,-1.02784E-0005
 3.630E-0001,-1.05439E-0005
 3.640E-0001,-1.07423E-0005
 3.650E-0001,-1.09987E-0005
 3.660E-0001,-1.12306E-0005
 3.670E-0001,-1.14686E-0005
 3.680E-0001,-1.17128E-0005
 3.690E-0001,-1.19600E-0005
 3.700E-0001,-1.22163E-0005
 3.710E-0001,-1.24422E-0005
 3.720E-0001,-1.27260E-0005
 3.730E-0001,-1.29762E-0005
 3.740E-0001,-1.32448E-0005
 3.750E-0001,-1.35072E-0005
 3.760E-0001,-1.37758E-0005
 3.770E-0001,-1.40749E-0005
 3.780E-0001,-1.43251E-0005
 3.790E-0001,-1.45998E-0005
 3.800E-0001,-1.48409E-0005
 3.810E-0001,-1.51308E-0005
 3.820E-0001,-1.53933E-0005
 3.830E-0001,-1.56832E-0005
 3.840E-0001,-1.59670E-0005
